facility_name,name_url,county,epa_class_simple,srn,violation_count,most_recent_vn
GERDAU MACSTEEL MONROE MILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7061' target='_blank'>GERDAU MACSTEEL MONROE MILL</a>,Monroe,Major ,B7061,7.0,2022-07-27
ROGERS PRINTING INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A4216' target='_blank'>ROGERS PRINTING INC</a>,Muskegon,Synthetic Minor ,A4216,7.0,2023-07-05
EES COKE BATTERY L.L.C.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0408' target='_blank'>EES COKE BATTERY L.L.C.</a>,Wayne,Megasite,P0408,6.0,2023-01-11
DYNAMIC CRUSHING LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0691' target='_blank'>DYNAMIC CRUSHING LLC</a>,Ionia,True Minor ,P0691,6.0,2021-10-19
TRIBAR TECHNOLOGIES INC. (PLANT 1),<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1581' target='_blank'>TRIBAR TECHNOLOGIES INC. (PLANT 1)</a>,Oakland,Synthetic Minor ,N1581,6.0,2023-08-04
TRIBAR TECHNOLOGIES INC (PLANT 5),<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0727' target='_blank'>TRIBAR TECHNOLOGIES INC (PLANT 5)</a>,Oakland,True Minor ,P0727,6.0,2023-08-04
"LTI PRINTING, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A6405' target='_blank'>LTI PRINTING, INC.</a>",Saint Joseph,True Minor ,A6405,6.0,2023-09-25
"LACKS INDUSTRIES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2079' target='_blank'>LACKS INDUSTRIES, INC.</a>",Kent,Megasite,N2079,6.0,2022-10-24
"ATLAS EPS, A DIVISION OF ATLAS ROOFING CORP.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1794' target='_blank'>ATLAS EPS, A DIVISION OF ATLAS ROOFING CORP.</a>",Kent,Major ,N1794,6.0,2022-09-15
PRATT INDUSTRIES INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0491' target='_blank'>PRATT INDUSTRIES INC.</a>,Berrien,True Minor ,P0491,6.0,2022-06-15
MOLD MASTERS COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A2809' target='_blank'>MOLD MASTERS COMPANY</a>,Lapeer,Synthetic Minor ,A2809,6.0,2023-05-31
"MESSINA TRUCKING, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1020' target='_blank'>MESSINA TRUCKING, INC.</a>",Macomb,True Minor ,P1020,6.0,2023-09-13
"HOOVER ROAD REAL ESTATE, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1109' target='_blank'>HOOVER ROAD REAL ESTATE, LLC</a>",Macomb,Synthetic Minor ,P1109,6.0,2022-09-07
PRATT INDUSTRIES INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7486' target='_blank'>PRATT INDUSTRIES INC.</a>,Berrien,Synthetic Minor ,N7486,6.0,2022-06-10
DTE ELECTRIC COMPANY - MONROE POWER PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2816' target='_blank'>DTE ELECTRIC COMPANY - MONROE POWER PLANT</a>,Monroe,Major ,B2816,6.0,2023-07-11
MICHIGAN FOAM PRODUCTS LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3078' target='_blank'>MICHIGAN FOAM PRODUCTS LLC</a>,Kent,Major ,N3078,6.0,2022-10-06
BASF CORPORATION - CHEMICAL PLANTS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4359' target='_blank'>BASF CORPORATION - CHEMICAL PLANTS</a>,Wayne,Major ,B4359,5.0,2023-03-24
"RECONSERVE OF MICHIGAN, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8081' target='_blank'>RECONSERVE OF MICHIGAN, INC.</a>",Calhoun,Synthetic Minor ,N8081,5.0,2023-05-12
"REAL ALLOY RECYCLING, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5957' target='_blank'>REAL ALLOY RECYCLING, LLC</a>",Branch,Major ,N5957,5.0,2023-04-06
U S SILICA CO,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A7757' target='_blank'>U S SILICA CO</a>,Wayne,Synthetic Minor ,A7757,5.0,2023-05-22
MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2873' target='_blank'>MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY</a>,Huron,Major ,B2873,5.0,2023-03-14
PPI AEROSPACE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6857' target='_blank'>PPI AEROSPACE</a>,Macomb,Synthetic Minor ,N6857,5.0,2019-10-08
LBWL - ECKERT STATION & REO TOWN PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2647' target='_blank'>LBWL - ECKERT STATION & REO TOWN PLANT</a>,Ingham,Major ,B2647,5.0,2021-05-06
DIAMOND CHROME PLATING INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A2931' target='_blank'>DIAMOND CHROME PLATING INC</a>,Livingston,True Minor ,A2931,5.0,2019-10-30
MICHIGAN METAL COATINGS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0950' target='_blank'>MICHIGAN METAL COATINGS</a>,Saint Clair,Synthetic Minor ,N0950,5.0,2019-09-12
HARD ROCK QUARRY LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0723' target='_blank'>HARD ROCK QUARRY LLC</a>,Jackson,True Minor ,P0723,5.0,2022-06-02
GRAND RAPIDS WASTEWATER TREATMENT PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1729' target='_blank'>GRAND RAPIDS WASTEWATER TREATMENT PLANT</a>,Kent,Synthetic Minor ,B1729,5.0,2023-08-03
GRAPHIC PACKAGING INTERNATIONAL LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1678' target='_blank'>GRAPHIC PACKAGING INTERNATIONAL LLC</a>,Kalamazoo,Major ,B1678,5.0,2022-12-19
PREMIER FINISHES LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7896' target='_blank'>PREMIER FINISHES LLC</a>,Macomb,True Minor ,N7896,5.0,2023-09-20
PREGIS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6944' target='_blank'>PREGIS</a>,Saint Clair,Major ,N6944,5.0,2023-06-26
MARTIN TECHNOLOGIES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7564' target='_blank'>MARTIN TECHNOLOGIES</a>,Oakland,Synthetic Minor ,N7564,5.0,2022-07-14
THE ANDERSONS MARATHON HOLDINGS LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B8570' target='_blank'>THE ANDERSONS MARATHON HOLDINGS LLC</a>,Calhoun,Major ,B8570,5.0,2022-11-10
ROCKY-TOP SAND & GRAVEL LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0143' target='_blank'>ROCKY-TOP SAND & GRAVEL LLC</a>,Allegan,True Minor ,P0143,5.0,2022-06-10
"POET BIOREFINING - CARO, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6996' target='_blank'>POET BIOREFINING - CARO, LLC</a>",Tuscola,Major ,N6996,5.0,2023-09-13
"LBWL, ERICKSON STATION","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4001' target='_blank'>LBWL, ERICKSON STATION</a>",Eaton,Major ,B4001,4.0,2023-02-07
SPRAYTEK INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0917' target='_blank'>SPRAYTEK INC</a>,Oakland,Synthetic Minor ,N0917,4.0,2022-07-29
