facility_name,name_url,county,epa_class_simple,srn,violation_count,most_recent_vn
KOREX CORP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B5619' target='_blank'>KOREX CORP</a>,Oakland,Synthetic Minor ,B5619,3.0,2023-08-02
BIEWER SAWMILL INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1722' target='_blank'>BIEWER SAWMILL INC</a>,Missaukee,Major ,N1722,3.0,2023-01-30
"SPECTRUM DECORATIVE FINISHES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6218' target='_blank'>SPECTRUM DECORATIVE FINISHES, INC.</a>",Kent,True Minor ,N6218,3.0,2019-03-29
COLLISION CRAFTSMEN,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5600' target='_blank'>COLLISION CRAFTSMEN</a>,Macomb,Synthetic Minor ,N5600,3.0,2023-07-12
AEVITAS SPECIALTY SERVICES CORP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7359' target='_blank'>AEVITAS SPECIALTY SERVICES CORP</a>,Wayne,True Minor ,N7359,3.0,2022-10-28
U S GRAPHITE  INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1995' target='_blank'>U S GRAPHITE  INC</a>,Saginaw,True Minor ,B1995,3.0,2022-08-17
CENTRAL SANITARY LANDFILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2804' target='_blank'>CENTRAL SANITARY LANDFILL</a>,Montcalm,Major ,N2804,3.0,2019-09-26
"GERKEN MATERIALS, INC - HMA PLANT 7","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7740' target='_blank'>GERKEN MATERIALS, INC - HMA PLANT 7</a>",Hillsdale,Synthetic Minor ,N7740,3.0,2020-05-14
THELAMCO INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B6608' target='_blank'>THELAMCO INC</a>,Berrien,Synthetic Minor ,B6608,3.0,2022-06-14
"MT CRUSHMOR, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1164' target='_blank'>MT CRUSHMOR, LLC</a>",Genesee,True Minor ,P1164,3.0,2022-08-30
"GREAT LAKES COMPOSITE, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2430' target='_blank'>GREAT LAKES COMPOSITE, LLC</a>",Shiawassee,Major ,N2430,3.0,2023-09-19
MID-MICHIGAN CRUSHING & RECYCLING INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8316' target='_blank'>MID-MICHIGAN CRUSHING & RECYCLING INC</a>,Wayne,True Minor ,N8316,3.0,2022-07-21
GERDAU SPECIAL STEEL NORTH AMERICA - JACKSON MILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4306' target='_blank'>GERDAU SPECIAL STEEL NORTH AMERICA - JACKSON MILL</a>,Jackson,Major ,B4306,3.0,2019-09-25
SUPERIOR ASPHALT INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8295' target='_blank'>SUPERIOR ASPHALT INC</a>,Kent,Synthetic Minor ,N8295,3.0,2020-05-21
"RJ TORCHING, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7885' target='_blank'>RJ TORCHING, INC.</a>",Genesee,True Minor ,N7885,3.0,2023-09-18
"CARIBBEAN POOL & FIBERGLASS PRODUCTS, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0578' target='_blank'>CARIBBEAN POOL & FIBERGLASS PRODUCTS, INC.</a>",Kent,Synthetic Minor ,P0578,3.0,2020-06-11
DIVERSCO CONSTRUCTION CO INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0151' target='_blank'>DIVERSCO CONSTRUCTION CO INC</a>,Kent,True Minor ,P0151,3.0,2023-05-01
"R L ADAMS PLASTICS, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7221' target='_blank'>R L ADAMS PLASTICS, INC.</a>",Kent,Major ,N7221,3.0,2021-08-19
GUARDIAN INDUSTRIES-CARLETON,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1877' target='_blank'>GUARDIAN INDUSTRIES-CARLETON</a>,Monroe,Major ,B1877,3.0,2022-09-13
BERNE FOUNDRY LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A1453' target='_blank'>BERNE FOUNDRY LLC</a>,Huron,True Minor ,A1453,3.0,2020-02-14
MAHLE POWERTRAIN LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0316' target='_blank'>MAHLE POWERTRAIN LLC</a>,Wayne,Synthetic Minor ,P0316,3.0,2019-06-11
VAN ELDEREN INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0728' target='_blank'>VAN ELDEREN INC.</a>,Kalamazoo,True Minor ,P0728,3.0,2018-12-12
"DUNN PAPER, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1855' target='_blank'>DUNN PAPER, INC.</a>",Menominee,True Minor ,B1855,3.0,2021-05-21
GSA - FEDERAL BUILDING & PARKING GARAGE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M4803' target='_blank'>GSA - FEDERAL BUILDING & PARKING GARAGE</a>,Wayne,Synthetic Minor ,M4803,3.0,2021-05-07
"PINE TREE ACRES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5984' target='_blank'>PINE TREE ACRES, INC.</a>",Macomb,Major ,N5984,3.0,2020-07-22
MUELLER BRASS CO.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A6262' target='_blank'>MUELLER BRASS CO.</a>,Saint Clair,Synthetic Minor ,A6262,3.0,2018-06-29
"HAVILAND ENTERPRISES, INC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0878' target='_blank'>HAVILAND ENTERPRISES, INC</a>",Kent,Synthetic Minor ,N0878,3.0,2019-09-19
KASSON SAND AND GRAVEL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4383' target='_blank'>KASSON SAND AND GRAVEL</a>,Leelanau,True Minor ,B4383,2.0,2022-07-26
"BIMBO BAKERIES USA, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4394' target='_blank'>BIMBO BAKERIES USA, INC.</a>",Kent,Synthetic Minor ,B4394,2.0,2022-05-04
BANDIT INDUSTRIES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5223' target='_blank'>BANDIT INDUSTRIES</a>,Isabella,Synthetic Minor ,N5223,2.0,2020-01-30
MIDLAND COGENERATION VENTURE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B6527' target='_blank'>MIDLAND COGENERATION VENTURE</a>,Midland,Major ,B6527,2.0,2020-02-19
PLASTIC PLATE KRAFT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7374' target='_blank'>PLASTIC PLATE KRAFT</a>,Kent,Major ,N7374,2.0,2020-07-23
"TOP GRADE AGGREGATES, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2399' target='_blank'>TOP GRADE AGGREGATES, LLC</a>",Kent,True Minor ,N2399,2.0,2022-05-04
"OAKLAND HEIGHTS DEVELOPMENT, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6008' target='_blank'>OAKLAND HEIGHTS DEVELOPMENT, INC.</a>",Oakland,Major ,N6008,2.0,2020-02-27
STATELINE CRUSHING,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0622' target='_blank'>STATELINE CRUSHING</a>,Washtenaw,True Minor ,P0622,2.0,2022-07-13
VERSO ESCANABA LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A0884' target='_blank'>VERSO ESCANABA LLC</a>,Delta,Major ,A0884,2.0,2020-09-14
AMERICAN RACK COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0893' target='_blank'>AMERICAN RACK COMPANY</a>,Allegan,Synthetic Minor ,P0893,2.0,2020-03-11
VOSS INDUSTRIES-VOSS TAYLOR DIV,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B3472' target='_blank'>VOSS INDUSTRIES-VOSS TAYLOR DIV</a>,Wayne,Synthetic Minor ,B3472,2.0,2020-01-17
FENDT BUILDER'S SUPPLY INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=F9158' target='_blank'>FENDT BUILDER'S SUPPLY INC</a>,Oakland,True Minor ,F9158,2.0,2020-09-23
GENE BROW AND SONS INC  #369-07,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7918' target='_blank'>GENE BROW AND SONS INC  #369-07</a>,Chippewa,True Minor ,N7918,2.0,2020-09-11
NBHX TRIM USA CORPORATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2614' target='_blank'>NBHX TRIM USA CORPORATION</a>,Kent,Major ,N2614,2.0,2022-06-29
CONTINENTAL ALUMINUM,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6013' target='_blank'>CONTINENTAL ALUMINUM</a>,Oakland,Synthetic Minor ,N6013,2.0,2020-02-06
DUNCAN AVIATION INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3303' target='_blank'>DUNCAN AVIATION INC.</a>,Calhoun,Synthetic Minor ,N3303,2.0,2022-07-07
MAGIGLIDE INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7504' target='_blank'>MAGIGLIDE INC</a>,Iron,True Minor ,N7504,2.0,2019-01-03
FINISHING TOUCH INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2384' target='_blank'>FINISHING TOUCH INC</a>,Hillsdale,Synthetic Minor ,N2384,2.0,2022-06-02
CLANCY EXCAVATING CO,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1774' target='_blank'>CLANCY EXCAVATING CO</a>,Macomb,True Minor ,B1774,2.0,2022-06-10
ARISTO-COTE INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6938' target='_blank'>ARISTO-COTE INC.</a>,Macomb,True Minor ,N6938,2.0,2019-01-10
"TOP GRADE AGGREGATES, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0684' target='_blank'>TOP GRADE AGGREGATES, LLC</a>",Allegan,True Minor ,P0684,2.0,2022-05-09
WOLVERINE HARDWOODS INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2454' target='_blank'>WOLVERINE HARDWOODS INC.</a>,Allegan,Unknown,N2454,2.0,2022-06-10
CASS COUNTY ROAD COMMISSION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1643' target='_blank'>CASS COUNTY ROAD COMMISSION</a>,Cass,True Minor ,N1643,2.0,2022-05-06
SUMMIT POLYMERS-VICKSBURG,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5044' target='_blank'>SUMMIT POLYMERS-VICKSBURG</a>,Kalamazoo,Synthetic Minor ,N5044,2.0,2022-06-10
TUSCOLA ENERGY MCPHERSON A-1-24,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7954' target='_blank'>TUSCOLA ENERGY MCPHERSON A-1-24</a>,Tuscola,Synthetic Minor ,N7954,2.0,2022-06-28
"MILFORD SALVAGE IRON & METAL COMPANY, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0976' target='_blank'>MILFORD SALVAGE IRON & METAL COMPANY, INC.</a>",Oakland,True Minor ,P0976,2.0,2018-11-29
"AMERICAN CHEMICAL SOLUTIONS, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4302' target='_blank'>AMERICAN CHEMICAL SOLUTIONS, LLC</a>",Muskegon,Synthetic Minor ,B4302,2.0,2022-05-20
W MICHIGAN AUTO STEEL & EN,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1112' target='_blank'>W MICHIGAN AUTO STEEL & EN</a>,Ionia,True Minor ,N1112,2.0,2020-07-31
SMITH CASTINGS LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1582' target='_blank'>SMITH CASTINGS LLC</a>,Dickinson,True Minor ,B1582,2.0,2019-01-23
DT FOWLER MANUFACTURING INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2507' target='_blank'>DT FOWLER MANUFACTURING INC.</a>,Lapeer,True Minor ,B2507,2.0,2022-07-06
CONSUMERS ENERGY - RAY COMPRESSOR STATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B6636' target='_blank'>CONSUMERS ENERGY - RAY COMPRESSOR STATION</a>,Macomb,Major ,B6636,2.0,2020-08-10
SPARROW HEALTH SYSTEM,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=M2017' target='_blank'>SPARROW HEALTH SYSTEM</a>,Ingham,True Minor ,M2017,2.0,2022-05-13
CENTURION MEDICAL PRODUCTS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5109' target='_blank'>CENTURION MEDICAL PRODUCTS</a>,Livingston,Synthetic Minor ,N5109,2.0,2021-04-22
"TREASURED PAL, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1131' target='_blank'>TREASURED PAL, LLC</a>",Macomb,True Minor ,P1131,2.0,2022-03-17
EXPERT COATING CO INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A2722' target='_blank'>EXPERT COATING CO INC.</a>,Kent,Synthetic Minor ,A2722,2.0,2021-02-18
UNIVERSAL COATING INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7256' target='_blank'>UNIVERSAL COATING INC.</a>,Genesee,Major ,N7256,2.0,2021-08-30
WRIGHT COATING TECHNOLOGIES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0991' target='_blank'>WRIGHT COATING TECHNOLOGIES</a>,Kalamazoo,Synthetic Minor ,N0991,2.0,2021-08-25
HILDEN OIL CO - HOUSE CRUDE OIL PRODUCTION FAC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8189' target='_blank'>HILDEN OIL CO - HOUSE CRUDE OIL PRODUCTION FAC</a>,Isabella,True Minor ,N8189,2.0,2019-06-21
"FASTENER COATINGS, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0760' target='_blank'>FASTENER COATINGS, INC.</a>",Saint Joseph,Synthetic Minor ,N0760,2.0,2019-06-27
HAVELKA CONSTRUCTION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8329' target='_blank'>HAVELKA CONSTRUCTION</a>,Menominee,True Minor ,N8329,2.0,2021-08-16
ALBRECHT SAND AND GRAVEL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1656' target='_blank'>ALBRECHT SAND AND GRAVEL</a>,Sanilac,True Minor ,N1656,2.0,2019-07-10
GENESEE POWER STATION LIMITED PARTNERSHIP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3570' target='_blank'>GENESEE POWER STATION LIMITED PARTNERSHIP</a>,Genesee,Major ,N3570,2.0,2021-08-03
MAC VALVES INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N3254' target='_blank'>MAC VALVES INC</a>,Oakland,Synthetic Minor ,N3254,2.0,2021-07-30
EVOQUA WATER TECHNOLOGIES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1228' target='_blank'>EVOQUA WATER TECHNOLOGIES</a>,Ottawa,Synthetic Minor ,N1228,2.0,2019-07-19
GRAYLING GENERATING STATION LTD PTNR,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2388' target='_blank'>GRAYLING GENERATING STATION LTD PTNR</a>,Crawford,Major ,N2388,2.0,2021-07-28
KASSOUNI MANUFACTURING INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A1702' target='_blank'>KASSOUNI MANUFACTURING INC</a>,Ionia,True Minor ,A1702,2.0,2019-07-24
"CLIFF A MESSING EXC, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0679' target='_blank'>CLIFF A MESSING EXC, INC.</a>",Huron,True Minor ,P0679,2.0,2021-06-23
NOVARES - HOWELL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2148' target='_blank'>NOVARES - HOWELL</a>,Livingston,Synthetic Minor ,N2148,2.0,2022-08-03
A & C ELECTRIC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6908' target='_blank'>A & C ELECTRIC</a>,Macomb,True Minor ,N6908,2.0,2019-09-27
COASTAL CONTAINER CORP,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B5453' target='_blank'>COASTAL CONTAINER CORP</a>,Allegan,True Minor ,B5453,2.0,2021-06-22
VENTRA FOWLERVILLE LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7413' target='_blank'>VENTRA FOWLERVILLE LLC</a>,Livingston,Major ,N7413,2.0,2021-03-09
HAWKINS HOMESTEAD,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N8053' target='_blank'>HAWKINS HOMESTEAD</a>,Ingham,True Minor ,N8053,2.0,2021-06-14
"STERLING PERFORMANCE, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0423' target='_blank'>STERLING PERFORMANCE, INC.</a>",Oakland,Synthetic Minor ,P0423,2.0,2021-06-10
CONSUMERS ENERGY D.E. KARN FACILITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2840' target='_blank'>CONSUMERS ENERGY D.E. KARN FACILITY</a>,Bay,Major ,B2840,2.0,2021-06-03
BIX FURNITURE SERVICE EAST,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0465' target='_blank'>BIX FURNITURE SERVICE EAST</a>,Macomb,True Minor ,N0465,2.0,2021-03-19
DANI'S TRANSPORT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1086' target='_blank'>DANI'S TRANSPORT</a>,Oakland,True Minor ,P1086,2.0,2021-05-13
PLASTIC OMNIUM,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0971' target='_blank'>PLASTIC OMNIUM</a>,Lenawee,True Minor ,P0971,2.0,2019-08-27
PASLIN COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0739' target='_blank'>PASLIN COMPANY</a>,Macomb,Synthetic Minor ,P0739,2.0,2021-03-31
"DDP SPECIALTY ELECTRONIC MATERIALS US, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1027' target='_blank'>DDP SPECIALTY ELECTRONIC MATERIALS US, LLC</a>",Midland,Megasite,P1027,2.0,2019-09-04
FCA US LLC - CHRYSLER TECHNOLOGY CENTER,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1436' target='_blank'>FCA US LLC - CHRYSLER TECHNOLOGY CENTER</a>,Oakland,Major ,N1436,2.0,2021-09-09
SC ENVIRONMENTAL SERVICES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0951' target='_blank'>SC ENVIRONMENTAL SERVICES</a>,Ingham,True Minor ,P0951,2.0,2019-06-04
AMERITI MANUFACTURING COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A8892' target='_blank'>AMERITI MANUFACTURING COMPANY</a>,Wayne,Synthetic Minor ,A8892,2.0,2020-09-25
"KNAUF INSULATION, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7205' target='_blank'>KNAUF INSULATION, INC.</a>",Calhoun,Major ,B7205,2.0,2021-12-06
TOWER AUTOMOTIVE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7871' target='_blank'>TOWER AUTOMOTIVE</a>,Wayne,Synthetic Minor ,N7871,2.0,2019-12-17
"SAKTHI AUTOMOTIVE GROUP USA, INC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0380' target='_blank'>SAKTHI AUTOMOTIVE GROUP USA, INC</a>",Wayne,Synthetic Minor ,P0380,2.0,2019-03-04
TUSCOLA ENERGY - RICHFIELD GAS PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B5462' target='_blank'>TUSCOLA ENERGY - RICHFIELD GAS PLANT</a>,Lapeer,Major ,B5462,2.0,2022-03-02
CORTEVA LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4942' target='_blank'>CORTEVA LLC</a>,Huron,Major ,B4942,2.0,2022-02-24
CRAFTWOOD INDUSTRIES,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7172' target='_blank'>CRAFTWOOD INDUSTRIES</a>,Ottawa,True Minor ,N7172,2.0,2019-12-13
A & L IRON AND METAL INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7508' target='_blank'>A & L IRON AND METAL INC.</a>,Otsego,True Minor ,N7508,2.0,2022-02-10
HOLCIM,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1743' target='_blank'>HOLCIM</a>,Monroe,True Minor ,B1743,2.0,2022-01-04
QUIKRETE-FLINT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1945' target='_blank'>QUIKRETE-FLINT</a>,Oakland,Synthetic Minor ,B1945,2.0,2020-10-13
SOLUTIA INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2155' target='_blank'>SOLUTIA INC</a>,Wayne,Major ,B2155,2.0,2019-09-12
PRS MANUFACTURING CO,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1229' target='_blank'>PRS MANUFACTURING CO</a>,Kent,Synthetic Minor ,N1229,2.0,2021-12-16
GLWA WATER RESOURCE RECOVERY FACILITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2103' target='_blank'>GLWA WATER RESOURCE RECOVERY FACILITY</a>,Wayne,Major ,B2103,2.0,2020-11-12
WARM RAIN CORPORATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0544' target='_blank'>WARM RAIN CORPORATION</a>,Houghton,Major ,N0544,2.0,2019-03-26
VERTELLUS ZEELAND LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2817' target='_blank'>VERTELLUS ZEELAND LLC</a>,Ottawa,Synthetic Minor ,B2817,2.0,2021-09-21
LACKS INDUSTRIES INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N0895' target='_blank'>LACKS INDUSTRIES INC</a>,Kent,Major ,N0895,2.0,2021-11-10
FPT SCHLAFER LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7683' target='_blank'>FPT SCHLAFER LLC</a>,Wayne,True Minor ,N7683,2.0,2021-11-08
POST FOODS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1548' target='_blank'>POST FOODS</a>,Calhoun,Major ,B1548,2.0,2019-12-10
"MORBARK, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1701' target='_blank'>MORBARK, LLC</a>",Isabella,Synthetic Minor ,N1701,2.0,2019-04-11
JACKSON METAL CLEANING,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0915' target='_blank'>JACKSON METAL CLEANING</a>,Ingham,Synthetic Minor ,P0915,2.0,2021-10-13
FORD MOTOR CO ROUGE COMPLEX,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A8648' target='_blank'>FORD MOTOR CO ROUGE COMPLEX</a>,Wayne,Megasite,A8648,2.0,2019-10-17
U.S. ARMY GARRISON-DETROIT ARSENAL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2763' target='_blank'>U.S. ARMY GARRISON-DETROIT ARSENAL</a>,Macomb,Synthetic Minor ,B2763,2.0,2021-01-07
AKZONOBEL COATINGS INC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B4145' target='_blank'>AKZONOBEL COATINGS INC</a>,Oakland,Synthetic Minor ,B4145,2.0,2021-10-01
"NEW COVERT GENERATING COMPANY, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6767' target='_blank'>NEW COVERT GENERATING COMPANY, LLC</a>",Van Buren,Major ,N6767,2.0,2019-05-08
CENTRAL MICH CREMATORY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6843' target='_blank'>CENTRAL MICH CREMATORY</a>,Ingham,True Minor ,N6843,2.0,2021-09-23
"PALMER FARMS, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0798' target='_blank'>PALMER FARMS, INC.</a>",Sanilac,True Minor ,P0798,2.0,2019-05-09
"ZFS ITHACA, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0788' target='_blank'>ZFS ITHACA, LLC</a>",Gratiot,Major ,P0788,2.0,2020-10-26
WALSWORTH PUBLISHING COMPANY (FORMERLY IPC),<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1698' target='_blank'>WALSWORTH PUBLISHING COMPANY (FORMERLY IPC)</a>,Berrien,Synthetic Minor ,N1698,2.0,2022-06-28
SHERIDAN PUBLISHING GRAND RAPIDS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N2829' target='_blank'>SHERIDAN PUBLISHING GRAND RAPIDS</a>,Kent,Synthetic Minor ,N2829,2.0,2020-03-13
QUALA,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N7164' target='_blank'>QUALA</a>,Macomb,Synthetic Minor ,N7164,2.0,2022-09-26
MIDWEST RUBBER COMPANY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=A6444' target='_blank'>MIDWEST RUBBER COMPANY</a>,Sanilac,Synthetic Minor ,A6444,2.0,2023-01-12
SOUTHERN MICHIGAN CREMATION SERVICES R.O. INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0932' target='_blank'>SOUTHERN MICHIGAN CREMATION SERVICES R.O. INC.</a>,Oakland,True Minor ,P0932,2.0,2023-01-06
KERRY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0787' target='_blank'>KERRY</a>,Kent,True Minor ,P0787,2.0,2018-08-07
CONSUMERS ENERGY CO. - JACKSON GENERATING STATION,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N6626' target='_blank'>CONSUMERS ENERGY CO. - JACKSON GENERATING STATION</a>,Jackson,Major ,N6626,2.0,2022-12-15
FLINT WATER POLLUTION CONTROL FACILITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1598' target='_blank'>FLINT WATER POLLUTION CONTROL FACILITY</a>,Genesee,True Minor ,B1598,2.0,2018-08-14
CENTRAL ASPHALT INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1620' target='_blank'>CENTRAL ASPHALT INC.</a>,Isabella,Synthetic Minor ,B1620,2.0,2022-12-13
"ALTA CREMATION & SERVICES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1145' target='_blank'>ALTA CREMATION & SERVICES, INC.</a>",Oakland,Unknown,P1145,2.0,2023-07-11
